"Date","Actual","Previous"
"Nov 20, 2025",NA,4.3
"Sep 05, 2025",4.3,4.2
"Aug 01, 2025",4.2,4.1
"Jul 03, 2025",4.1,4.2
"Jun 06, 2025",4.2,4.2
"May 02, 2025",4.2,4.2
"Apr 04, 2025",4.2,4.1
"Mar 07, 2025",4.1,4
"Feb 07, 2025",4,4.1
"Jan 10, 2025",4.1,4.2
"Dec 06, 2024",4.2,4.1
"Nov 01, 2024",4.1,4.1
"Oct 04, 2024",4.1,4.2
"Sep 06, 2024",4.2,4.3
"Aug 02, 2024",4.3,4.1
"Jul 05, 2024",4.1,4
"Jun 07, 2024",4,3.9
"May 03, 2024",3.9,3.8
"Apr 05, 2024",3.8,3.9
"Mar 08, 2024",3.9,3.7
"Feb 02, 2024",3.7,3.7
"Jan 05, 2024",3.7,3.7
"Dec 08, 2023",3.7,3.9
"Nov 03, 2023",3.9,3.8
"Oct 06, 2023",3.8,3.8
"Sep 01, 2023",3.8,3.5
"Aug 04, 2023",3.5,3.6
"Jul 07, 2023",3.6,3.7
"Jun 02, 2023",3.7,3.4
"May 05, 2023",3.4,3.5
"Apr 07, 2023",3.5,3.6
"Mar 10, 2023",3.6,3.4
"Feb 03, 2023",3.4,3.5
"Jan 06, 2023",3.5,3.7
"Dec 02, 2022",3.7,3.7
"Nov 04, 2022",3.7,3.5
"Oct 07, 2022",3.5,3.7
"Sep 02, 2022",3.7,3.5
"Aug 05, 2022",3.5,3.6
"Jul 08, 2022",3.6,3.6
"Jun 03, 2022",3.6,3.6
"May 06, 2022",3.6,3.6
"Apr 01, 2022",3.6,3.8
"Mar 04, 2022",3.8,4
"Feb 04, 2022",4,3.9
"Jan 07, 2022",3.9,4.2
"Dec 03, 2021",4.2,4.6
"Nov 05, 2021",4.6,4.8
"Oct 08, 2021",4.8,5.2
"Sep 03, 2021",5.2,5.4
"Aug 06, 2021",5.4,5.9
"Jul 02, 2021",5.9,5.8
"Jun 04, 2021",5.8,6.1
"May 07, 2021",6.1,6
"Apr 02, 2021",6,6.2
"Mar 05, 2021",6.2,6.3
"Feb 05, 2021",6.3,6.7
"Jan 08, 2021",6.7,6.7
"Dec 04, 2020",6.7,6.9
"Nov 06, 2020",6.9,7.9
"Oct 02, 2020",7.9,8.4
"Sep 04, 2020",8.4,10.2
"Aug 07, 2020",10.2,11.1
"Jul 02, 2020",11.1,13.3
"Jun 05, 2020",13.3,14.7
"May 08, 2020",14.7,4.4
"Apr 03, 2020",4.4,3.5
"Mar 06, 2020",3.5,3.6
"Feb 07, 2020",3.6,3.5
"Jan 10, 2020",3.5,3.5
"Dec 06, 2019",3.5,3.6
"Nov 01, 2019",3.6,3.5
"Oct 04, 2019",3.5,3.7
"Sep 06, 2019",3.7,3.7
"Aug 02, 2019",3.7,3.7
"Jul 05, 2019",3.7,3.6
"Jun 07, 2019",3.6,3.6
"May 03, 2019",3.6,3.8
"Apr 05, 2019",3.8,3.8
"Mar 08, 2019",3.8,4
"Feb 01, 2019",4,3.9
"Jan 04, 2019",3.9,3.7
"Dec 07, 2018",3.7,3.7
"Nov 02, 2018",3.7,3.7
"Oct 05, 2018",3.7,3.9
"Sep 07, 2018",3.9,3.9
"Aug 03, 2018",3.9,4
"Jul 06, 2018",4,3.8
"Jun 01, 2018",3.8,3.9
"May 04, 2018",3.9,4.1
"Apr 06, 2018",4.1,4.1
"Mar 09, 2018",4.1,4.1
"Feb 02, 2018",4.1,4.1
"Jan 05, 2018",4.1,4.1
"Dec 08, 2017",4.1,4.1
"Nov 03, 2017",4.1,4.2
"Oct 06, 2017",4.2,4.4
"Sep 01, 2017",4.4,4.3
"Aug 04, 2017",4.3,4.4
"Jul 07, 2017",4.4,4.3
"Jun 02, 2017",4.3,4.4
"May 05, 2017",4.4,4.5
"Apr 07, 2017",4.5,4.7
"Mar 10, 2017",4.7,4.8
"Feb 03, 2017",4.8,4.7
"Jan 06, 2017",4.7,4.6
"Dec 02, 2016",4.6,4.9
"Nov 04, 2016",4.9,5
"Oct 07, 2016",5,4.9
"Sep 02, 2016",4.9,4.9
"Aug 05, 2016",4.9,4.9
"Jul 08, 2016",4.9,4.7
"Jun 03, 2016",4.7,5
"May 06, 2016",5,5
"Apr 01, 2016",5,4.9
"Mar 04, 2016",4.9,4.9
"Feb 05, 2016",4.9,5
"Jan 08, 2016",5,5
"Dec 04, 2015",5,5
"Nov 06, 2015",5,5.1
"Oct 02, 2015",5.1,5.1
"Sep 04, 2015",5.1,5.3
"Aug 07, 2015",5.3,5.3
"Jul 02, 2015",5.3,5.5
"Jun 05, 2015",5.5,5.4
"May 08, 2015",5.4,5.5
"Apr 03, 2015",5.5,5.5
"Mar 06, 2015",5.5,5.7
"Feb 06, 2015",5.7,5.6
"Jan 09, 2015",5.6,5.8
"Dec 05, 2014",5.8,5.8
"Nov 07, 2014",5.8,5.9
"Oct 03, 2014",5.9,6.1
"Sep 05, 2014",6.1,6.2
"Aug 01, 2014",6.2,6.1
"Jul 03, 2014",6.1,6.3
"Jun 06, 2014",6.3,6.3
"May 02, 2014",6.3,6.7
"Apr 04, 2014",6.7,6.7
"Mar 07, 2014",6.7,6.6
"Feb 07, 2014",6.6,6.7
"Jan 10, 2014",6.7,7
"Dec 06, 2013",7,7.3
"Nov 08, 2013",7.3,7.2
"Oct 22, 2013",7.2,7.3
"Sep 06, 2013",7.3,7.4
"Aug 02, 2013",7.4,7.6
"Jul 05, 2013",7.6,7.6
"Jun 07, 2013",7.6,7.5
"May 03, 2013",7.5,7.6
"Apr 05, 2013",7.6,7.7
"Mar 08, 2013",7.7,7.9
"Feb 01, 2013",7.9,7.8
"Jan 04, 2013",7.8,7.7
"Dec 07, 2012",7.7,7.9
"Nov 02, 2012",7.9,7.8
"Oct 05, 2012",7.8,8.1
"Sep 07, 2012",8.1,8.3
"Aug 03, 2012",8.3,8.2
"Jul 06, 2012",8.2,8.2
"Jun 01, 2012",8.2,8.1
"May 04, 2012",8.1,8.2
"Apr 06, 2012",8.2,8.3
"Mar 09, 2012",8.3,8.3
"Feb 03, 2012",8.3,8.5
"Jan 06, 2012",8.5,9.8
"Dec 03, 2010",9.8,9.6
"Nov 05, 2010",9.6,9.6
"Oct 08, 2010",9.6,9.6
"Sep 03, 2010",9.6,9.5
"Aug 06, 2010",9.5,9.5
"Jul 02, 2010",9.5,9.7
"Jun 04, 2010",9.7,9.9
"May 07, 2010",9.9,9.7
"Apr 02, 2010",9.7,9.7
"Mar 05, 2010",9.7,9.7
"Feb 05, 2010",9.7,10
"Jan 08, 2010",10,10
"Dec 04, 2009",10,10.2
"Nov 06, 2009",10.2,9.8
"Oct 02, 2009",9.8,9.7
"Sep 04, 2009",9.7,9.4
"Aug 07, 2009",9.4,9.5
"Jul 02, 2009",9.5,9.4
"Jun 05, 2009",9.4,8.9
"May 08, 2009",8.9,8.5
"Apr 03, 2009",8.5,8.1
"Mar 06, 2009",8.1,7.6
"Feb 06, 2009",7.6,7.2
"Jan 09, 2009",7.2,6.7
"Dec 05, 2008",6.7,6.5
"Nov 07, 2008",6.5,6.1
"Oct 03, 2008",6.1,6.1
"Sep 05, 2008",6.1,5.7
"Aug 01, 2008",5.7,5.5
"Jul 03, 2008",5.5,5.5
"Jun 01, 2008",5.5,5
"May 01, 2008",5,5.1
"Apr 01, 2008",5.1,4.9
"Mar 01, 2008",4.9,5
"Feb 01, 2008",5,5
"Jan 01, 2008",5,4.7
"Dec 01, 2007",4.7,4.7
"Nov 01, 2007",4.7,4.7
"Oct 01, 2007",4.7,4.6
"Sep 01, 2007",4.6,4.7
"Aug 01, 2007",4.7,4.6
"Jul 01, 2007",4.6,4.4
"Jun 01, 2007",4.4,4.5
"May 01, 2007",4.5,4.4
"Apr 01, 2007",4.4,4.5
"Mar 01, 2007",4.5,4.6
"Feb 01, 2007",4.6,4.4
"Jan 01, 2007",4.4,4.5
"Dec 01, 2006",4.5,4.4
"Nov 01, 2006",4.4,4.5
"Oct 01, 2006",4.5,4.7
"Sep 01, 2006",4.7,4.7
"Aug 01, 2006",4.7,4.6
"Jul 01, 2006",4.6,4.6
"Jun 01, 2006",4.6,4.7
"May 01, 2006",4.7,4.7
"Apr 01, 2006",4.7,4.8
"Mar 01, 2006",4.8,4.7
"Feb 01, 2006",4.7,4.9
"Jan 01, 2006",4.9,5
"Dec 01, 2005",5,5
"Nov 01, 2005",5,5
"Oct 01, 2005",5,4.9
"Sep 01, 2005",4.9,5
"Aug 01, 2005",5,5
"Jul 01, 2005",5,5.1
"Jun 01, 2005",5.1,5.2
"May 01, 2005",5.2,5.2
"Apr 01, 2005",5.2,5.4
"Mar 01, 2005",5.4,5.3
"Feb 01, 2005",5.3,5.4
"Jan 01, 2005",5.4,5.4
"Dec 01, 2004",5.4,5.5
"Nov 01, 2004",5.5,5.4
"Oct 01, 2004",5.4,5.4
"Sep 01, 2004",5.4,5.5
"Aug 01, 2004",5.5,5.6
"Jul 01, 2004",5.6,5.6
"Jun 01, 2004",5.6,5.6
"May 01, 2004",5.6,5.8
"Apr 01, 2004",5.8,5.6
"Mar 01, 2004",5.6,5.7
"Feb 01, 2004",5.7,5.7
"Jan 01, 2004",5.7,5.8
"Dec 01, 2003",5.8,6
"Nov 01, 2003",6,6.1
"Oct 01, 2003",6.1,6.1
"Sep 01, 2003",6.1,6.2
"Aug 01, 2003",6.2,6.3
"Jul 01, 2003",6.3,6.1
"Jun 01, 2003",6.1,6
"May 01, 2003",6,5.9
"Apr 01, 2003",5.9,5.9
"Mar 01, 2003",5.9,5.8
"Feb 01, 2003",5.8,6
"Jan 01, 2003",6,5.9
"Dec 01, 2002",5.9,5.7
"Nov 01, 2002",5.7,5.7
"Oct 01, 2002",5.7,5.7
"Sep 01, 2002",5.7,5.8
"Aug 01, 2002",5.8,5.8
"Jul 01, 2002",5.8,5.8
"Jun 01, 2002",5.8,5.9
"May 01, 2002",5.9,5.7
"Apr 01, 2002",5.7,5.7
"Mar 01, 2002",5.7,5.7
"Feb 01, 2002",5.7,5.7
"Jan 01, 2002",5.7,5.5
"Dec 01, 2001",5.5,5.3
"Nov 01, 2001",5.3,5
"Oct 01, 2001",5,4.9
"Sep 01, 2001",4.9,4.6
"Aug 01, 2001",4.6,4.5
"Jul 01, 2001",4.5,4.3
"Jun 01, 2001",4.3,4.4
"May 01, 2001",4.4,4.3
"Apr 01, 2001",4.3,4.2
"Mar 01, 2001",4.2,4.2
"Feb 01, 2001",4.2,3.9
"Jan 01, 2001",3.9,3.9
"Dec 01, 2000",3.9,3.9
"Nov 01, 2000",3.9,3.9
"Oct 01, 2000",3.9,4.1
"Sep 01, 2000",4.1,4
"Aug 01, 2000",4,4
"Jul 01, 2000",4,4
"Jun 01, 2000",4,3.8
"May 01, 2000",3.8,4
"Apr 01, 2000",4,4.1
"Mar 01, 2000",4.1,4
"Feb 01, 2000",4,4
"Jan 01, 2000",4,4.1
"Dec 01, 1999",4.1,4.1
"Nov 01, 1999",4.1,4.2
"Oct 01, 1999",4.2,4.2
"Sep 01, 1999",4.2,4.3
"Aug 01, 1999",4.3,4.3
"Jul 01, 1999",4.3,4.2
"Jun 01, 1999",4.2,4.3
"May 01, 1999",4.3,NA
